val_loss,val_acc,epoch,step,test_loss,test_acc
0.46826088428497314,0.8769999742507935,0,214,,
0.3295653760433197,0.9049999713897705,1,429,,
0.2797371745109558,0.9164000153541565,2,644,,
0.24724893271923065,0.9261999726295471,3,859,,
0.2249932438135147,0.9354000091552734,4,1074,,
0.20802336931228638,0.9405999779701233,5,1289,,
0.1942317634820938,0.9430000185966492,6,1504,,
0.18393461406230927,0.9462000131607056,7,1719,,
0.17505738139152527,0.9476000070571899,8,1934,,
0.16573375463485718,0.9521999955177307,9,2149,,
,,9,2150,0.1460694521665573,0.9552000164985657
