val_loss,val_acc,epoch,step,test_loss,test_acc
0.46826088428497314,0.8769999742507935,0,214,,
0.3295653760433197,0.9049999713897705,1,429,,
0.2797343134880066,0.9164000153541565,2,644,,
0.24725143611431122,0.9261999726295471,3,859,,
0.22499540448188782,0.9354000091552734,4,1074,,
0.20799997448921204,0.9409999847412109,5,1289,,
0.19428621232509613,0.9431999921798706,6,1504,,
0.18397259712219238,0.946399986743927,7,1719,,
0.1751042604446411,0.9472000002861023,8,1934,,
0.1657441109418869,0.9526000022888184,9,2149,,
,,9,2150,0.14600308239459991,0.955299973487854
